,file_name,data_type,flavor,vendor,95th Percentile Data Received (Mb),median data_received (Mb),mean data_received (Mb),median cpu_usage (%),95th Percentile CPU,mean cpu_usage (%),sum lost,mean sent,mean received,max ru_maxrss,95th Percentile Latency,median latency_mean (ms),mean latency_mean (ms)
0,./data/build_farm/raw/performance_test_two_process_results_rmw_connextdds_sync_Array60k.csv,Array60k,sync,connextdds,58.61094474792481,58.608704566955566,58.556917508443206,2.747,3.172,2.670555555555556,0.0,0.0,998.5185185185184,90296.0,0.12944,0.1173,0.1187037037037037
0,./data/build_farm/raw/performance_test_two_process_results_rmw_connextdds_sync_Array2m.csv,Array2m,sync,connextdds,0.0,0.0,0.07395892673068577,6.99,8.7305,7.1053703703703714,17856.0,0.0,0.0,582404.0,0.0,0.0,1.025925925925926
0,./data/build_farm/raw/performance_test_two_process_results_FastRTPS_async_Array8m.csv,Array8m,async,fastrtps,605.5027267456055,567.9143533706665,567.0049513004444,10.75,11.175,10.823333333333334,25064.0,0.0,69.8888888888889,87456.0,21.292,20.47,20.364074074074075
0,./data/build_farm/raw/performance_test_two_process_results_rmw_fastrtps_dynamic_cpp_sync_Array4k.csv,Array4k,dynamic_cpp_sync,fastrtps,3.9216590881347657,3.9214935302734375,3.9175881279839415,1.7480000000000002,1.998,1.7294814814814816,0.0,0.0,998.4074074074074,93872.0,0.062124,0.05297,0.05282481481481482
0,./data/build_farm/raw/performance_test_two_process_results_rmw_fastrtps_cpp_async_Array16k.csv,Array16k,cpp_async,fastrtps,15.640857791900634,15.640251159667967,15.624620614228425,1.998,2.498,2.015740740740741,0.0,0.0,998.5185185185184,93404.0,0.11121,0.09198,0.09362703703703702
0,./data/build_farm/raw/performance_test_two_process_results_rmw_cyclonedds_cpp_sync_Array8m.csv,Array8m,cpp_sync,cyclonedds,862.2837067604065,779.8273983001709,764.8154733445909,21.45,22.551,21.415925925925926,2761.0,0.0,95.07407407407408,99392.0,8.456100000000001,7.209,7.449629629629628
0,./data/build_farm/raw/performance_test_two_process_results_rmw_connextdds_async_Array4m.csv,Array4m,async,connextdds,0.0,0.0,0.14786130410653572,10.48,13.395,10.864111111111114,16968.0,0.0,0.0,1114428.0,0.0,0.0,2.9033333333333333
0,./data/build_farm/raw/performance_test_two_process_results_rmw_fastrtps_dynamic_cpp_async_Array32k.csv,Array32k,dynamic_cpp_async,fastrtps,31.26702909469604,31.26518821716309,31.23282351317229,2.248,2.8473,2.2650740740740742,0.0,0.0,998.3333333333335,94140.0,0.11944,0.1049,0.10579925925925923
0,./data/build_farm/raw/performance_test_two_process_results_rmw_fastrtps_cpp_async_Array8m.csv,Array8m,cpp_async,fastrtps,1261.7403631210327,1146.097927093506,1134.9677980564259,15.63,16.214000000000002,15.550370370370374,22949.0,0.0,141.37037037037038,93796.0,13.859000000000002,13.36,13.299629629629626
0,./data/build_farm/raw/performance_test_two_process_results_FastRTPS_sync_Array2m.csv,Array2m,sync,fastrtps,1791.1216469764706,1709.736738204956,1696.4354191886057,16.0,16.5,15.934814814814816,4073.0,0.0,847.3703703703702,87296.0,4.4214,2.173,2.237651851851852
0,./data/build_farm/raw/performance_test_two_process_results_rmw_cyclonedds_cpp_sync_Array2m.csv,Array2m,cpp_sync,cyclonedds,1743.3534123420716,1519.3871812820435,1525.408727504589,23.03,23.967,23.007407407407413,553.0,0.0,762.2222222222223,89052.0,1.8816,1.594,1.6138888888888887
0,./data/build_farm/raw/performance_test_two_process_results_rmw_fastrtps_dynamic_cpp_async_Array2m.csv,Array2m,dynamic_cpp_async,fastrtps,2000.196706199646,1996.097414970398,1994.7759784769132,11.74,12.739999999999998,11.881851851851852,24.0,0.0,996.8888888888887,94132.0,0.67219,0.6234,0.6202074074074074
0,./data/build_farm/raw/performance_test_two_process_results_rmw_connextdds_async_Array2m.csv,Array2m,async,connextdds,0.0,0.0,0.0,6.989,7.24,6.998481481481482,0.0,0.0,0.0,578076.0,0.0,0.0,0.0
0,./data/build_farm/raw/performance_test_two_process_results_FastRTPS_async_Array32k.csv,Array32k,async,fastrtps,31.292069053649907,31.26086902618408,31.263927883572048,1.75,2.0,1.8147777777777776,0.0,0.0,999.1111111111113,87420.0,0.11802,0.1055,0.10420555555555557
